iteration,model,problem,condition,response,timestamp
24,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:11
25,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:11
26,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:11
27,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:11
28,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:11
29,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:11
30,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:11
31,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,A,5/17/26 18:11
32,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:11
33,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:11
34,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:11
35,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:11
36,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:11
37,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,A,5/17/26 18:11
38,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:11
39,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:11
40,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:11
41,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,A,5/17/26 18:11
42,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:11
43,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:11
44,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:11
45,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:11
46,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:11
47,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:11
48,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:11
49,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:11
50,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:11
51,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,A,5/17/26 18:11
52,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:11
53,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:11
54,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:11
55,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:11
56,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,B,5/17/26 18:11
57,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,A,5/17/26 18:11
58,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:11
59,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:11
60,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:11
61,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:11
62,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:11
63,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:11
64,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:11
65,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:11
66,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,B,5/17/26 18:11
67,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,B,5/17/26 18:11
68,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:11
69,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:11
70,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:11
71,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:11
72,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:11
73,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,A,5/17/26 18:11
74,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:11
75,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:11
76,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:11
77,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:11
78,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:11
79,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:11
80,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:11
81,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,A,5/17/26 18:11
82,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:11
83,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:11
84,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:11
85,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:11
86,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,B,5/17/26 18:11
87,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:13
88,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:13
89,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:13
90,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:13
91,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:13
92,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:13
93,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:13
94,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:13
95,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:13
96,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:13
97,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:13
98,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,A,5/17/26 18:13
99,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:13
100,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:13
101,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,A,5/17/26 18:13
102,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:13
103,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:13
104,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:13
105,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:13
106,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,B,5/17/26 18:13
107,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:13
108,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:13
109,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:13
110,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:13
111,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:13
112,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:13
113,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:13
114,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:13
115,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:13
116,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:13
117,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:13
118,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:13
119,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:13
120,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:13
121,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:13
122,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,B,5/17/26 18:13
123,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:13
124,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:13
125,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:13
126,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:13
127,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:13
128,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:13
129,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:13
130,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:13
131,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:13
132,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,B,5/17/26 18:13
133,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:13
134,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:13
135,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:13
136,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:13
137,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:13
138,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:13
139,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:13
140,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:13
141,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,B,5/17/26 18:13
142,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:13
143,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:13
144,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:13
145,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:13
146,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,B,5/17/26 18:13
147,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:13
148,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:13
149,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:13
150,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:13
151,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:14
152,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:14
153,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:14
154,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:14
155,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:14
156,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:14
157,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,B,5/17/26 18:14
158,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:14
159,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:14
160,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:14
161,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:14
162,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:14
163,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:14
164,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:14
165,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:14
166,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,A,5/17/26 18:14
167,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:14
168,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:14
169,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:14
170,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:14
171,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:14
172,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:14
173,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:14
174,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:14
175,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:14
176,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:14
177,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:14
178,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:14
179,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:14
180,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:14
181,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,B,5/17/26 18:14
182,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,B,5/17/26 18:14
183,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:14
184,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:14
185,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:14
186,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,B,5/17/26 18:14
187,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:14
188,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:14
189,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:14
190,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:14
191,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,B,5/17/26 18:14
192,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:14
193,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:14
194,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:14
195,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:14
196,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,A,5/17/26 18:14
197,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:14
198,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:14
199,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:14
200,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:14
201,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:14
202,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:14
203,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:14
204,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:14
205,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:14
206,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,A,5/17/26 18:14
207,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:14
208,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:14
209,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:14
210,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:14
211,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:14
212,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,B,5/17/26 18:14
213,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:14
214,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:14
215,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:14
216,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,B,5/17/26 18:14
217,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:14
218,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:14
219,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:14
220,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:14
221,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:14
222,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,B,5/17/26 18:14
223,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:14
224,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:14
225,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:14
226,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:14
227,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:14
228,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:14
229,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:14
230,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:14
231,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:14
232,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:14
233,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:14
234,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:14
235,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:14
236,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:14
237,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:14
238,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,A,5/17/26 18:14
239,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:14
240,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:14
241,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:14
242,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:14
243,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:14
244,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:14
245,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:14
246,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:14
247,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:14
248,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:14
249,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:14
250,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:14
251,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:14
252,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:14
253,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:14
254,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:14
255,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:14
256,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:14
257,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:14
258,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:14
259,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:14
260,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:14
261,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,B,5/17/26 18:14
262,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:14
263,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:14
264,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:14
265,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:14
266,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,A,5/17/26 18:14
267,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:14
268,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:14
269,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:14
270,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:14
271,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:14
272,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:14
273,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:14
274,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:14
275,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:14
276,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:14
277,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:14
278,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:14
279,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:14
280,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:14
281,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:14
282,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:14
283,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:14
284,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:14
285,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:14
286,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,A,5/17/26 18:14
287,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:15
288,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:15
289,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:15
290,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:15
291,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:15
292,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,B,5/17/26 18:15
293,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:15
294,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:15
295,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:15
296,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:15
297,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:15
298,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:15
299,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:15
300,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:15
301,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:15
302,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,B,5/17/26 18:15
303,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:15
304,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:15
305,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:15
306,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,A,5/17/26 18:15
307,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:15
308,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:15
309,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:15
310,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:15
311,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:15
312,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:15
